Country Code,Year,GDP per capita,GDP growth rate,Urban population percentage,Literacy rate,Environmental performance index,CO2 emissions,Years Since First Data
1W,2011,10484.5351391091,3.32713269662275,52.0218135501306,84.4107818603516,31.5369634729686,4.77042054950097,19
1W,2012,10586.6705744927,2.70911515835066,52.461280460224,84.6013793945312,31.4723138421389,4.78615965087224,20
1W,2013,10754.7984151567,2.86822214282918,52.9088674665259,84.9030990600586,31.43820022402,4.82190235825589,21
1W,2014,10918.5540956328,3.12386991048261,53.3645718877624,85.2863922119141,31.4038069234078,4.78993069652475,22
1W,2015,10177.8905141454,3.12613558771196,53.8272499686749,85.6788787841797,31.3683864547761,4.70716690857649,23
1W,2016,10224.0659312632,2.82055728507054,54.2860663497877,86.0001068115234,31.3409159600853,4.65931825087415,24
1W,2017,10762.8045848545,3.46023911788988,54.7388680161327,86.177001953125,31.2899970077389,4.68132472259179,25
1W,2018,11315.083985152,3.28661298847909,55.1876216343615,86.4374771118164,31.2526357421528,4.75007198449683,26
1W,2019,11358.4786578376,2.64221643519326,55.6306124972328,86.5479125976562,31.2137545518266,4.70104761365043,27
1W,2020,10941.6626777859,-2.93204334405938,56.0647314414528,86.7474517822266,31.1769045867139,4.46132648636131,28
4E,1990,416.373982010159,5.15177457936109,28.1133453062577,80.6246337890625,29.1182836938866,1.83321820990749,0
4E,1991,444.997656238077,8.00349470097943,28.8897632815079,81.206298828125,29.1079063586204,1.90798883796266,1
4E,1992,491.988841832484,11.1816632271587,29.6907314794088,81.7606964111328,29.0930004194416,1.95914787435623,2
4E,1993,532.688457933215,11.2665070340412,30.5044501311991,82.2651901245117,29.0780944739827,2.08727032245359,3
4E,1994,632.594797411984,10.9352541231006,31.3334977880411,82.8440780639648,29.0631885285239,2.17170035417502,4
4E,1995,770.275234314203,9.87403044001086,32.175895793524,83.4288482666016,29.0483008254302,2.36805577621222,5
4E,1996,873.686269764749,9.06296810029477,33.0336533794962,83.945198059082,29.0334131099175,2.34829486638909,6
4E,1997,892.795550723033,7.34262879772277,33.9011717715559,89.5267715454102,29.0185071457367,2.40097024667705,7
4E,1998,805.275013660577,2.89374658858377,34.7812776627835,89.9074630737305,29.003601181556,2.40629856898653,8
4E,1999,877.111243169083,6.37890766471614,35.6723567078917,90.2037963867188,28.9886952173752,2.36085679587026,9
4E,2000,955.506658861057,7.64657808569183,36.5882625010899,90.5773315429688,28.8803677684405,2.47193806158294,10
4E,2001,1007.10846078881,6.97944726729803,37.6179314624315,90.9143371582031,28.9992711686921,2.56906854443566,11
4E,2002,1104.78906670935,8.06013082991048,38.7269242085251,91.2583770751953,29.1192040374803,2.73153805563912,12
4E,2003,1239.86530795546,8.94474821506344,39.8477379586578,91.6047210693359,29.2257755651731,3.08261147410593,13
4E,2004,1425.92489652597,9.12128477964977,40.979263183005,91.9164428710938,29.3453415320567,3.47491600467636,14
4E,2005,1638.41551979907,9.97695756050231,42.1147433728028,92.2367706298828,29.4592561067234,3.8584668978279,15
4E,2006,1957.82302373395,11.0785090646634,43.2256654064175,92.5871124267578,29.5724361394812,4.20346976694183,16
4E,2007,2456.42154734082,12.4866919748479,44.3241396182328,93.7884368896484,29.6916450141708,4.50761986387822,17
4E,2008,3084.94106104028,8.61568809514881,45.4276731893057,94.0883026123047,29.8104509290581,4.6035321520002,18
4E,2009,3320.29730074494,7.98496641412531,46.531415614357,94.3666687011719,29.9293869754952,4.85318666121111,19
4E,2010,4012.12087849729,9.92144884456243,47.6352440680206,94.5455627441406,30.0476487790686,5.25623833996038,20
4E,2011,4863.64922348988,8.642957947062,48.6750048253769,94.2364273071289,30.0826734242213,5.67168502119361,21
4E,2012,5376.60387038264,7.58030545300147,49.6896643173614,94.4613037109375,30.1175974266301,5.79908646312894,22
4E,2013,5881.94349657699,7.29872789260344,50.6983295021237,94.5692291259766,30.1535616108764,5.99650026822716,23
4E,2014,6292.34645582796,6.98433194373406,51.7043365163408,94.9921417236328,30.1878623600017,6.04935865303175,24
4E,2015,6499.96372015715,6.70715877038921,52.7050680820121,95.1985397338867,30.2228214238407,5.95837037388388,25
4E,2016,6592.51791291846,6.56471186911301,53.7010108921137,95.401496887207,30.3506195584455,5.93857826430677,26
4E,2017,7151.27470673284,6.70769640336606,54.6886447150072,95.5915908813477,30.3515394339169,6.05215240074494,27
4E,2018,7944.75974327118,6.52499175086045,55.6518040281527,95.6321334838867,30.3995511660506,6.32541818349339,28
4E,2019,8171.96552369406,5.7818918001209,56.5874104244186,96.0468826293945,30.4475289991765,6.47391229750025,29
4E,2020,8262.92725428299,1.24692683762466,57.4947267010293,96.2685317993164,30.4950957795128,6.51676838558213,30
7E,1992,1544.36239474351,-4.72258166990038,56.8738939488427,93.7180786132812,38.9798345767917,7.30600634627387,0
7E,1993,1625.75040017083,-2.05133282888963,57.0687081727355,93.8496017456055,38.9949128650163,6.47306180094999,1
7E,1994,1291.79228182657,-10.0089487703629,57.2460427130285,93.9742889404297,39.0120054350277,5.63746641077451,2
7E,1995,1444.13451760333,0.930173707159071,57.4138193734553,94.0963134765625,39.0257710105343,5.42283096706457,3
7E,1996,1523.50455416166,3.9458619169435,57.566790269994,94.3455505371094,39.0350976791885,4.99907431770831,4
7E,1997,1609.74452114434,5.53323283364244,57.7258527086375,94.4728317260742,39.0424712663071,4.86445374165666,5
7E,1998,1953.99102023025,2.26391497933412,57.9026897861843,94.7251129150391,39.0466767579598,4.87629199041424,6
7E,1999,1777.71179591122,-1.18718049002545,58.1040882318722,94.8853378295898,39.0432972047074,4.7949133073469,7
7E,2000,1806.71402040987,6.7788147387722,58.3258910927645,95.1163787841797,39.0461017063471,4.92472837556666,8
7E,2001,1541.93087892577,-0.133106140411812,58.5806987158516,95.2725219726562,39.0839406845621,4.77802228478158,9
7E,2002,1786.10360302103,6.39606951351061,58.8766367164956,95.4257965087891,39.1224531770433,4.91796348428166,10
7E,2003,2267.10000300183,6.60142074853765,59.1935038073377,95.5682220458984,39.1586202658958,5.20050715615227,11
7E,2004,2906.97741345164,9.63361465886427,59.5186608160017,95.687141418457,39.1943689833768,5.19849325179767,12
7E,2005,3602.23384624342,8.4601464051734,59.8513334469038,95.970329284668,39.2303685548844,5.21772336754287,13
7E,2006,4167.68712922686,8.22853653823152,60.1830970229959,95.8777770996094,39.2459256572685,5.50185357278447,14
7E,2007,5222.83842374993,7.07520171091195,60.5019133490106,96.0478134155273,39.2841799856782,5.70172559413204,15
